evaluation_type,feature_scenario,removed_features,model,output_strategy,target,load_condition,n_features,n_train,n_test,MAE,MSE,RMSE,R2,fit_s,predict_s,notes
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_PEAK,no_load,28,122657,26561,50.462780046053325,15426.608971404583,124.20390078980846,0.5340678431873367,11.976734161376953,0.0679464340209961,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS,no_load,28,122657,26561,21.02894915997476,3037.87494714607,55.11692069724206,0.507437417019543,11.976734161376953,0.0679464340209961,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS_FREQ,no_load,28,122657,26561,68.36536530793579,15338.03278601775,123.84681177171154,0.4615894185523879,11.976734161376953,0.0679464340209961,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_PEAK,load,28,49475,9666,133.3113942442092,38957.97555054024,197.37774836728744,0.8045802322102669,4.560867786407471,0.055954933166503906,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS,load,28,49475,9666,52.95596886058515,6403.7097098448085,80.02318232765307,0.8141303690342089,4.560867786407471,0.055954933166503906,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS_FREQ,load,28,49475,9666,123.145978373818,27655.939001007624,166.30074864836786,0.4654530128655111,4.560867786407471,0.055954933166503906,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_PEAK,load,28,49475,10696,187.21690895372134,97079.4426348786,311.57574140949833,0.6910620506080184,4.560867786407471,0.04555010795593262,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS,load,28,49475,10696,67.30757720025626,11176.807474363277,105.72042127405318,0.7604870343215702,4.560867786407471,0.04555010795593262,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS_FREQ,load,28,49475,10696,139.03907688654095,35897.2573379269,189.4657154683319,0.43117693028152515,4.560867786407471,0.04555010795593262,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_PEAK,all,28,172132,35832,69.76353916784572,18476.318315598808,135.9276216064962,0.8463363735341781,4.4296417236328125,0.03432750701904297,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS,all,28,172132,35832,26.762584619120837,3032.849211851906,55.071310242738065,0.8540684196911077,4.4296417236328125,0.03432750701904297,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS_FREQ,all,28,172132,35832,74.83801033756133,14453.35367461547,120.22210143985784,0.5837507444058856,4.4296417236328125,0.03432750701904297,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_PEAK,all,28,172132,37257,89.2585723196047,38433.33493691663,196.04421679028593,0.7920885987644959,4.4296417236328125,0.04297137260437012,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS,all,28,172132,37257,32.6339719783113,5215.9651627520525,72.22163915857942,0.8214171082178353,4.4296417236328125,0.04297137260437012,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS_FREQ,all,28,172132,37257,84.42502282237479,19673.658929103614,140.26282090812097,0.5652781520524878,4.4296417236328125,0.04297137260437012,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_PEAK,no_load,28,122657,26166,47.785462188099366,10316.295746565256,101.56916730270686,0.5811664870338715,3.7595608234405518,0.025995492935180664,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS,no_load,28,122657,26166,16.46393579576998,1665.9608817367405,40.81618406633257,0.6144570237299134,3.7595608234405518,0.025995492935180664,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS_FREQ,no_load,28,122657,26166,63.40130678489446,10510.575291476353,102.52109681171164,0.500885308036747,3.7595608234405518,0.025995492935180664,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_PEAK,no_load,28,122657,26561,51.770335601252526,15453.753285837518,124.31312595956035,0.5332479994360377,3.7595608234405518,0.02974247932434082,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS,no_load,28,122657,26561,18.450982679912606,2850.1372306389912,53.38667652737892,0.5378773054858055,3.7595608234405518,0.02974247932434082,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS_FREQ,no_load,28,122657,26561,69.1706686091364,14204.977449329508,119.1846359617275,0.5013630317105734,3.7595608234405518,0.02974247932434082,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_PEAK,load,28,49475,9666,133.48043403436841,39055.505523884574,197.62465818790068,0.8040910054351547,3.347775459289551,0.014806270599365234,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS,load,28,49475,9666,54.647817389024105,6715.609339593459,81.94882146555531,0.8050773869805996,3.347775459289551,0.014806270599365234,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS_FREQ,load,28,49475,9666,117.8769459221211,25930.625425538692,161.0298898513524,0.4988006845390547,3.347775459289551,0.014806270599365234,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_PEAK,load,28,49475,10696,184.6468751794519,92916.46975873694,304.82202964801763,0.7043099666324927,3.347775459289551,0.014658927917480469,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS,load,28,49475,10696,66.46001848566443,10491.283719726767,102.42696773665989,0.7751774392419928,3.347775459289551,0.014658927917480469,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS_FREQ,load,28,49475,10696,132.64121023291708,33260.95556610949,182.37586344171066,0.47295141049968537,3.347775459289551,0.014658927917480469,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_PEAK,all,28,172132,35832,66.6128856146948,17874.50672094351,133.6955747994058,0.8513415131136277,15.226162672042847,0.10951733589172363,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS,all,28,172132,35832,26.50013360768717,3020.739276288472,54.96125249926963,0.8546511133599208,15.226162672042847,0.10951733589172363,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS_FREQ,all,28,172132,35832,76.27093812727057,14530.351304225976,120.54190683835218,0.5815332517236043,15.226162672042847,0.10951733589172363,offline temporal split
